platform,rank,title,url
netflix,1,,https://flixpatrol.com/title/adolescence-2025/
netflix,2,Adolescence,https://flixpatrol.com/title/adolescence-2025/
netflix,3,The Residence,https://flixpatrol.com/title/the-residence/
netflix,4,Wolf King,https://flixpatrol.com/title/wolf-king/
netflix,5,When Life Gives You Tangerines,https://flixpatrol.com/title/when-life-gives-you-tangerines/
netflix,6,Medusa,https://flixpatrol.com/title/medusa-2025/
netflix,7,Inside,https://flixpatrol.com/title/inside-2024/
netflix,8,Running Point,https://flixpatrol.com/title/running-point/
netflix,9,WWE SmackDown,https://flixpatrol.com/title/wwe-smackdown/
netflix,10,Woman of the Dead,https://flixpatrol.com/title/woman-of-the-dead/
netflix,11,1883,https://flixpatrol.com/title/1883/
hbo,1,,https://flixpatrol.com/title/the-white-lotus/
hbo,2,The White Lotus,https://flixpatrol.com/title/the-white-lotus/
hbo,3,The Pitt,https://flixpatrol.com/title/the-pitt/
hbo,4,Cóyotl: Héroe y Bestia,https://flixpatrol.com/title/coyotl-heroe-y-bestia/
hbo,5,La Promesa,https://flixpatrol.com/title/la-promesa-2023/
hbo,6,Scars of Beauty,https://flixpatrol.com/title/scars-of-beauty/
hbo,7,A Decent Man,https://flixpatrol.com/title/a-decent-man-2025/
hbo,8,Georgie & Mandy's First Marriage,https://flixpatrol.com/title/georgie-mandys-first-marriage/
hbo,9,Doc,https://flixpatrol.com/title/doc-2025/
hbo,10,A Body in the Snow: The Trial of Karen Read,https://flixpatrol.com/title/a-body-in-the-snow-the-trial-of-karen-read/
hbo,11,When No One Sees Us,https://flixpatrol.com/title/when-no-one-sees-us/
disney,1,,https://flixpatrol.com/title/daredevil-born-again/
disney,2,Daredevil: Born Again,https://flixpatrol.com/title/daredevil-born-again/
disney,3,Grey's Anatomy,https://flixpatrol.com/title/greys-anatomy/
disney,4,High Potential,https://flixpatrol.com/title/high-potential/
disney,5,Win or Lose,https://flixpatrol.com/title/win-or-lose/
disney,6,The Simpsons,https://flixpatrol.com/title/the-simpsons/
disney,7,Modern Family,https://flixpatrol.com/title/modern-family/
disney,8,Devil in the Family: The Fall of Ruby Franke,https://flixpatrol.com/title/devil-in-the-family-the-fall-of-ruby-franke/
disney,9,Bluey,https://flixpatrol.com/title/bluey/
disney,10,Good American Family,https://flixpatrol.com/title/good-american-family/
disney,11,Malcolm in the Middle,https://flixpatrol.com/title/malcolm-in-the-middle/
apple-tv,1,,https://flixpatrol.com/title/severance-2022/
apple-tv,2,Severance,https://flixpatrol.com/title/severance-2022/
apple-tv,3,Surface,https://flixpatrol.com/title/surface-2022/
apple-tv,4,Dope Thief,https://flixpatrol.com/title/dope-thief/
apple-tv,5,Ted Lasso,https://flixpatrol.com/title/ted-lasso/
apple-tv,6,Silo,https://flixpatrol.com/title/silo-2023/
apple-tv,7,Prime Target,https://flixpatrol.com/title/prime-target/
apple-tv,8,Shrinking,https://flixpatrol.com/title/shrinking/
apple-tv,9,See,https://flixpatrol.com/title/see/
apple-tv,10,Mythic Quest,https://flixpatrol.com/title/mythic-quest/
apple-tv,11,Slow Horses,https://flixpatrol.com/title/slow-horses/
amazon-prime,1,,https://flixpatrol.com/title/reacher/
amazon-prime,2,Reacher,https://flixpatrol.com/title/reacher/
amazon-prime,3,The Wheel of Time,https://flixpatrol.com/title/the-wheel-of-time/
amazon-prime,4,House of David,https://flixpatrol.com/title/house-of-david/
amazon-prime,5,INVINCIBLE,https://flixpatrol.com/title/invincible-2021/
amazon-prime,6,Yo soy Betty la fea,https://flixpatrol.com/title/yo-soy-betty-la-fea/
amazon-prime,7,Newtopia,https://flixpatrol.com/title/newtopia/
amazon-prime,8,Par de ideotas,https://flixpatrol.com/title/par-de-ideotas/
amazon-prime,9,Beast Games,https://flixpatrol.com/title/beast-games/
amazon-prime,10,The Summer I Turned Pretty,https://flixpatrol.com/title/the-summer-i-turned-pretty/
amazon-prime,11,The Lord of the Rings: The Rings of Power,https://flixpatrol.com/title/the-lord-of-the-rings-the-rings-of-power/
paramount-plus,1,,https://flixpatrol.com/title/south-park/
paramount-plus,2,South Park,https://flixpatrol.com/title/south-park/
paramount-plus,3,1923,https://flixpatrol.com/title/1923-2022/
paramount-plus,4,Yellowstone,https://flixpatrol.com/title/yellowstone/
paramount-plus,5,Halo,https://flixpatrol.com/title/halo/
paramount-plus,6,De Férias com o Ex: América Latina,https://flixpatrol.com/title/de-ferias-com-o-ex-america-latina/
paramount-plus,7,Lioness,https://flixpatrol.com/title/lioness/
paramount-plus,8,"Sabrina, the Teenage Witch",https://flixpatrol.com/title/sabrina-the-teenage-witch/
paramount-plus,9,SpongeBob SquarePants,https://flixpatrol.com/title/spongebob-squarepants/
paramount-plus,10,Criminal Minds,https://flixpatrol.com/title/criminal-minds/
paramount-plus,11,Scorpion,https://flixpatrol.com/title/scorpion/
