platform,rank,title,url
netflix,1,,https://flixpatrol.com/title/squid-game/
netflix,2,Squid Game,https://flixpatrol.com/title/squid-game/
netflix,3,Missing You,https://flixpatrol.com/title/missing-you-2025/
netflix,4,American Primeval,https://flixpatrol.com/title/american-primeval/
netflix,5,The Breakthrough,https://flixpatrol.com/title/the-breakthrough-2025/
netflix,6,Fake Profile,https://flixpatrol.com/title/fake-profile/
netflix,7,Subteran,https://flixpatrol.com/title/subteran/
netflix,8,Dubai Bling,https://flixpatrol.com/title/dubai-bling/
netflix,9,"Jerry Springer: Fights, Camera, Action",https://flixpatrol.com/title/jerry-springer-fights-camera-action/
netflix,10,When the Stars Gossip,https://flixpatrol.com/title/when-the-stars-gossip/
netflix,11,Departure,https://flixpatrol.com/title/departure/
hbo,1,,https://flixpatrol.com/title/the-sex-lives-of-college-girls/
hbo,2,The Sex Lives of College Girls,https://flixpatrol.com/title/the-sex-lives-of-college-girls/
hbo,3,The Pitt,https://flixpatrol.com/title/the-pitt/
hbo,4,Creature Commandos,https://flixpatrol.com/title/creature-commandos/
hbo,5,Dune: Prophecy,https://flixpatrol.com/title/dune-prophecy/
hbo,6,La Promesa,https://flixpatrol.com/title/la-promesa-2023/
hbo,7,SAS: Rogue Heroes,https://flixpatrol.com/title/sas-rogue-heroes/
hbo,8,Brilliant Minds,https://flixpatrol.com/title/brilliant-minds/
hbo,9,Bookie,https://flixpatrol.com/title/bookie/
hbo,10,SpongeBob SquarePants,https://flixpatrol.com/title/spongebob-squarepants/
hbo,11,True Detective,https://flixpatrol.com/title/true-detective-2014/
disney,1,,https://flixpatrol.com/title/star-wars-skeleton-crew/
disney,2,Star Wars: Skeleton Crew,https://flixpatrol.com/title/star-wars-skeleton-crew/
disney,3,Grey's Anatomy,https://flixpatrol.com/title/greys-anatomy/
disney,4,Modern Family,https://flixpatrol.com/title/modern-family/
disney,5,Dream Productions,https://flixpatrol.com/title/dream-productions/
disney,6,Bluey,https://flixpatrol.com/title/bluey/
disney,7,The Simpsons,https://flixpatrol.com/title/the-simpsons/
disney,8,Desperate Housewives,https://flixpatrol.com/title/desperate-housewives/
disney,9,Criminal Minds,https://flixpatrol.com/title/criminal-minds/
disney,10,How I Met Your Mother,https://flixpatrol.com/title/how-i-met-your-mother/
disney,11,Goosebumps: The Vanishing,https://flixpatrol.com/title/goosebumps-the-vanishing/
amazon,1,,https://flixpatrol.com/title/yellowstone/
amazon,2,Yellowstone,https://flixpatrol.com/title/yellowstone/
amazon,3,RuPaul's Drag Race,https://flixpatrol.com/title/rupauls-drag-race/
amazon,4,Tyler Perry's The Oval,https://flixpatrol.com/title/tyler-perrys-the-oval/
amazon,5,The Challenge,https://flixpatrol.com/title/the-challenge-1998/
apple-tv,1,,https://flixpatrol.com/title/silo-2023/
apple-tv,2,Silo,https://flixpatrol.com/title/silo-2023/
apple-tv,3,Severance,https://flixpatrol.com/title/severance-2022/
apple-tv,4,Shrinking,https://flixpatrol.com/title/shrinking/
apple-tv,5,Ted Lasso,https://flixpatrol.com/title/ted-lasso/
apple-tv,6,Bad Sisters,https://flixpatrol.com/title/bad-sisters/
apple-tv,7,Slow Horses,https://flixpatrol.com/title/slow-horses/
apple-tv,8,Disclaimer,https://flixpatrol.com/title/disclaimer/
apple-tv,9,See,https://flixpatrol.com/title/see/
apple-tv,10,The Morning Show,https://flixpatrol.com/title/the-morning-show/
apple-tv,11,Presumed Innocent,https://flixpatrol.com/title/presumed-innocent-2024/
amazon-prime,1,,https://flixpatrol.com/title/beast-games/
amazon-prime,2,Beast Games,https://flixpatrol.com/title/beast-games/
amazon-prime,3,On Call,https://flixpatrol.com/title/on-call/
amazon-prime,4,Secret Level,https://flixpatrol.com/title/secret-level/
amazon-prime,5,The Rig,https://flixpatrol.com/title/the-rig-2023/
amazon-prime,6,The Lord of the Rings: The Rings of Power,https://flixpatrol.com/title/the-lord-of-the-rings-the-rings-of-power/
amazon-prime,7,Cruel Intentions,https://flixpatrol.com/title/cruel-intentions-2024/
amazon-prime,8,Reacher,https://flixpatrol.com/title/reacher/
amazon-prime,9,The Summer I Turned Pretty,https://flixpatrol.com/title/the-summer-i-turned-pretty/
amazon-prime,10,Cross,https://flixpatrol.com/title/cross-2024/
amazon-prime,11,Marry My Husband,https://flixpatrol.com/title/marry-my-husband/
paramount-plus,1,,https://flixpatrol.com/title/south-park/
paramount-plus,2,South Park,https://flixpatrol.com/title/south-park/
paramount-plus,3,Yellowstone,https://flixpatrol.com/title/yellowstone/
paramount-plus,4,Lioness,https://flixpatrol.com/title/lioness/
paramount-plus,5,Tulsa King,https://flixpatrol.com/title/tulsa-king/
paramount-plus,6,Landman,https://flixpatrol.com/title/landman/
paramount-plus,7,Dexter: Original Sin,https://flixpatrol.com/title/dexter-original-sin/
paramount-plus,8,Scorpion,https://flixpatrol.com/title/scorpion/
paramount-plus,9,"Sabrina, the Teenage Witch",https://flixpatrol.com/title/sabrina-the-teenage-witch/
paramount-plus,10,SpongeBob SquarePants,https://flixpatrol.com/title/spongebob-squarepants/
paramount-plus,11,Dexter,https://flixpatrol.com/title/dexter/
