platform,rank,title,url
netflix,1,,https://flixpatrol.com/title/running-point/
netflix,2,Running Point,https://flixpatrol.com/title/running-point/
netflix,3,Medusa,https://flixpatrol.com/title/medusa-2025/
netflix,4,Zero Day,https://flixpatrol.com/title/zero-day/
netflix,5,Formula 1: Drive to Survive,https://flixpatrol.com/title/formula-1-drive-to-survive/
netflix,6,Just One Look,https://flixpatrol.com/title/just-one-look/
netflix,7,Halo,https://flixpatrol.com/title/halo/
netflix,8,The Leopard,https://flixpatrol.com/title/the-leopard-2025/
netflix,9,When Life Gives You Tangerines,https://flixpatrol.com/title/when-life-gives-you-tangerines/
netflix,10,Beauty in Black,https://flixpatrol.com/title/beauty-in-black/
netflix,11,Dabba Cartel,https://flixpatrol.com/title/dabba-cartel/
hbo,1,,https://flixpatrol.com/title/the-pitt/
hbo,2,The Pitt,https://flixpatrol.com/title/the-pitt/
hbo,3,The White Lotus,https://flixpatrol.com/title/the-white-lotus/
hbo,4,Cóyotl: Hero and Beast,https://flixpatrol.com/title/coyotl-hero-and-beast/
hbo,5,Scars of Beauty,https://flixpatrol.com/title/scars-of-beauty/
hbo,6,The Eastern Gate,https://flixpatrol.com/title/the-eastern-gate/
hbo,7,La Promesa,https://flixpatrol.com/title/la-promesa-2023/
hbo,8,Georgie & Mandy's First Marriage,https://flixpatrol.com/title/georgie-mandys-first-marriage/
hbo,9,When Nobody Sees Us,https://flixpatrol.com/title/when-nobody-sees-us/
hbo,10,Common Side Effects,https://flixpatrol.com/title/common-side-effects/
hbo,11,Doc,https://flixpatrol.com/title/doc-2025/
disney,1,,https://flixpatrol.com/title/daredevil-born-again/
disney,2,Daredevil: Born Again,https://flixpatrol.com/title/daredevil-born-again/
disney,3,High Potential,https://flixpatrol.com/title/high-potential/
disney,4,Grey's Anatomy,https://flixpatrol.com/title/greys-anatomy/
disney,5,Win or Lose,https://flixpatrol.com/title/win-or-lose/
disney,6,Paradise,https://flixpatrol.com/title/paradise-2025/
disney,7,Modern Family,https://flixpatrol.com/title/modern-family/
disney,8,The Simpsons,https://flixpatrol.com/title/the-simpsons/
disney,9,Desperate Housewives,https://flixpatrol.com/title/desperate-housewives/
disney,10,Family Guy,https://flixpatrol.com/title/family-guy/
disney,11,9-1-1,https://flixpatrol.com/title/9-1-1/
apple-tv,1,,https://flixpatrol.com/title/severance-2022/
apple-tv,2,Severance,https://flixpatrol.com/title/severance-2022/
apple-tv,3,Prime Target,https://flixpatrol.com/title/prime-target/
apple-tv,4,Surface,https://flixpatrol.com/title/surface-2022/
apple-tv,5,Silo,https://flixpatrol.com/title/silo-2023/
apple-tv,6,Ted Lasso,https://flixpatrol.com/title/ted-lasso/
apple-tv,7,Shrinking,https://flixpatrol.com/title/shrinking/
apple-tv,8,Mythic Quest,https://flixpatrol.com/title/mythic-quest/
apple-tv,9,Slow Horses,https://flixpatrol.com/title/slow-horses/
apple-tv,10,See,https://flixpatrol.com/title/see/
apple-tv,11,The Morning Show,https://flixpatrol.com/title/the-morning-show/
amazon-prime,1,,https://flixpatrol.com/title/reacher/
amazon-prime,2,Reacher,https://flixpatrol.com/title/reacher/
amazon-prime,3,INVINCIBLE,https://flixpatrol.com/title/invincible-2021/
amazon-prime,4,House of David,https://flixpatrol.com/title/house-of-david/
amazon-prime,5,Beast Games,https://flixpatrol.com/title/beast-games/
amazon-prime,6,The Wheel of Time,https://flixpatrol.com/title/the-wheel-of-time/
amazon-prime,7,The Lord of the Rings: The Rings of Power,https://flixpatrol.com/title/the-lord-of-the-rings-the-rings-of-power/
amazon-prime,8,Newtopia,https://flixpatrol.com/title/newtopia/
amazon-prime,9,Fallout,https://flixpatrol.com/title/fallout/
amazon-prime,10,Maxton Hall - The World Between Us,https://flixpatrol.com/title/maxton-hall-the-world-between-us/
amazon-prime,11,Yo soy Betty la fea,https://flixpatrol.com/title/yo-soy-betty-la-fea/
paramount-plus,1,,https://flixpatrol.com/title/south-park/
paramount-plus,2,South Park,https://flixpatrol.com/title/south-park/
paramount-plus,3,Yellowstone,https://flixpatrol.com/title/yellowstone/
paramount-plus,4,1923,https://flixpatrol.com/title/1923-2022/
paramount-plus,5,Halo,https://flixpatrol.com/title/halo/
paramount-plus,6,"Sabrina, the Teenage Witch",https://flixpatrol.com/title/sabrina-the-teenage-witch/
paramount-plus,7,Scorpion,https://flixpatrol.com/title/scorpion/
paramount-plus,8,SpongeBob SquarePants,https://flixpatrol.com/title/spongebob-squarepants/
paramount-plus,9,Tulsa King,https://flixpatrol.com/title/tulsa-king/
paramount-plus,10,NCIS,https://flixpatrol.com/title/ncis/
paramount-plus,11,The King of Queens,https://flixpatrol.com/title/the-king-of-queens/
