platform,rank,title,url
netflix,1,,https://flixpatrol.com/title/zero-day/
netflix,2,Zero Day,https://flixpatrol.com/title/zero-day/
netflix,3,Running Point,https://flixpatrol.com/title/running-point/
netflix,4,American Murder: Gabby Petito,https://flixpatrol.com/title/american-murder-gabby-petito/
netflix,5,Toxic Town,https://flixpatrol.com/title/toxic-town/
netflix,6,Cassandra,https://flixpatrol.com/title/cassandra/
netflix,7,Love Is Blind,https://flixpatrol.com/title/love-is-blind/
netflix,8,Dabba Cartel,https://flixpatrol.com/title/dabba-cartel/
netflix,9,Ghosts,https://flixpatrol.com/title/ghosts-2021/
netflix,10,The First Frost,https://flixpatrol.com/title/the-first-frost/
netflix,11,WWE SmackDown,https://flixpatrol.com/title/wwe-smackdown/
hbo,1,,https://flixpatrol.com/title/the-white-lotus/
hbo,2,The White Lotus,https://flixpatrol.com/title/the-white-lotus/
hbo,3,The Pitt,https://flixpatrol.com/title/the-pitt/
hbo,4,Cóyotl: Hero and Beast,https://flixpatrol.com/title/coyotl-hero-and-beast/
hbo,5,Scars of Beauty,https://flixpatrol.com/title/scars-of-beauty/
hbo,6,The Eastern Gate,https://flixpatrol.com/title/the-eastern-gate/
hbo,7,La Promesa,https://flixpatrol.com/title/la-promesa-2023/
hbo,8,Georgie & Mandy's First Marriage,https://flixpatrol.com/title/georgie-mandys-first-marriage/
hbo,9,Doc,https://flixpatrol.com/title/doc-2025/
hbo,10,Dope Girls,https://flixpatrol.com/title/dope-girls/
hbo,11,The Fall of Diddy,https://flixpatrol.com/title/the-fall-of-diddy/
disney,1,,https://flixpatrol.com/title/win-or-lose/
disney,2,Win or Lose,https://flixpatrol.com/title/win-or-lose/
disney,3,High Potential,https://flixpatrol.com/title/high-potential/
disney,4,Grey's Anatomy,https://flixpatrol.com/title/greys-anatomy/
disney,5,Modern Family,https://flixpatrol.com/title/modern-family/
disney,6,Paradise,https://flixpatrol.com/title/paradise-2025/
disney,7,A Thousand Blows,https://flixpatrol.com/title/a-thousand-blows/
disney,8,The Simpsons,https://flixpatrol.com/title/the-simpsons/
disney,9,Family Guy,https://flixpatrol.com/title/family-guy/
disney,10,Desperate Housewives,https://flixpatrol.com/title/desperate-housewives/
disney,11,9-1-1,https://flixpatrol.com/title/9-1-1/
apple-tv,1,,https://flixpatrol.com/title/severance-2022/
apple-tv,2,Severance,https://flixpatrol.com/title/severance-2022/
apple-tv,3,Prime Target,https://flixpatrol.com/title/prime-target/
apple-tv,4,Surface,https://flixpatrol.com/title/surface-2022/
apple-tv,5,Silo,https://flixpatrol.com/title/silo-2023/
apple-tv,6,Ted Lasso,https://flixpatrol.com/title/ted-lasso/
apple-tv,7,Shrinking,https://flixpatrol.com/title/shrinking/
apple-tv,8,Slow Horses,https://flixpatrol.com/title/slow-horses/
apple-tv,9,Mythic Quest,https://flixpatrol.com/title/mythic-quest/
apple-tv,10,See,https://flixpatrol.com/title/see/
apple-tv,11,Berlin ER,https://flixpatrol.com/title/berlin-er/
amazon-prime,1,,https://flixpatrol.com/title/reacher/
amazon-prime,2,Reacher,https://flixpatrol.com/title/reacher/
amazon-prime,3,INVINCIBLE,https://flixpatrol.com/title/invincible-2021/
amazon-prime,4,House of David,https://flixpatrol.com/title/house-of-david/
amazon-prime,5,Beast Games,https://flixpatrol.com/title/beast-games/
amazon-prime,6,The Lord of the Rings: The Rings of Power,https://flixpatrol.com/title/the-lord-of-the-rings-the-rings-of-power/
amazon-prime,7,Newtopia,https://flixpatrol.com/title/newtopia/
amazon-prime,8,Cruel Intentions,https://flixpatrol.com/title/cruel-intentions-2024/
amazon-prime,9,Maxton Hall - The World Between Us,https://flixpatrol.com/title/maxton-hall-the-world-between-us/
amazon-prime,10,On Call,https://flixpatrol.com/title/on-call/
amazon-prime,11,Yo soy Betty la fea,https://flixpatrol.com/title/yo-soy-betty-la-fea/
paramount-plus,1,,https://flixpatrol.com/title/south-park/
paramount-plus,2,South Park,https://flixpatrol.com/title/south-park/
paramount-plus,3,Yellowstone,https://flixpatrol.com/title/yellowstone/
paramount-plus,4,1923,https://flixpatrol.com/title/1923-2022/
paramount-plus,5,Tulsa King,https://flixpatrol.com/title/tulsa-king/
paramount-plus,6,"Sabrina, the Teenage Witch",https://flixpatrol.com/title/sabrina-the-teenage-witch/
paramount-plus,7,1883,https://flixpatrol.com/title/1883/
paramount-plus,8,SpongeBob SquarePants,https://flixpatrol.com/title/spongebob-squarepants/
paramount-plus,9,Scorpion,https://flixpatrol.com/title/scorpion/
paramount-plus,10,Yellowjackets,https://flixpatrol.com/title/yellowjackets/
paramount-plus,11,Lioness,https://flixpatrol.com/title/lioness/
